dma,County,CountyTrim,StateCode
"ABILENE-SWEETWATER, TX",Brown,Brown,",H"
"ABILENE-SWEETWATER, TX",Callahan,Callahan,",H"
"ABILENE-SWEETWATER, TX",Coleman,Coleman,",H"
"ABILENE-SWEETWATER, TX",Eastland,Eastland,",H"
"ABILENE-SWEETWATER, TX",Fisher,Fisher,",H"
"ALBANY, GA",Atkinson,Atkinson,"n,"
"ALBANY, GA",Baker,Baker,"n,"
"ALBANY, GA",BenHill,BenHill,"n,"
"ALBANY, GA",Berrien,Berrien,"n,"
"ALBANY, GA",Calhou,Calhou,"n,"
"ALBANY-SCHENECTADY-TROY, NY",Berkshire,Berkshire,MA
"ALBANY-SCHENECTADY-TROY, NY",,,MA
"ALBANY-SCHENECTADY-TROY, NY",Albany,Albany,to
"ALBANY-SCHENECTADY-TROY, NY",Columbia,Columbia,to
"ALBANY-SCHENECTADY-TROY, NY",Ful,Ful,to
"ALBUQUERQUE-SANTA FE, NM",ApacheNorth,ApacheNorth,AZ
"ALBUQUERQUE-SANTA FE, NM",,,AZ
"ALBUQUERQUE-SANTA FE, NM",LaPlata,LaPlata,aC
"ALBUQUERQUE-SANTA FE, NM",Montezum,Montezum,aC
"ALEXANDRIA, LA",Avoyelles,Avoyelles,LA
"ALEXANDRIA, LA",Grant,Grant,LA
"ALEXANDRIA, LA",Rapides,Rapides,LA
"ALEXANDRIA, LA",VernonParishes,VernonParishes,LA
"ALEXANDRIA, LA",,,LA
